consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
NMD_transcript_variant&inframe_insertion,ins,+4..10,67,67,0,67,0,5.36e-02
NMD_transcript_variant&splice_acceptor_variant,del,-1,67,67,0,67,0,5.36e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,del,-4..10,66,66,0,55,11,5.44e-02
intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,65,65,0,0,65,5.52e-02
intron_variant&splice_polypyrimidine_tract_variant,ins,+4..10,64,64,0,59,5,5.60e-02
5_prime_UTR_variant,ins,+1,63,63,0,63,0,5.69e-02
intron_variant&splice_polypyrimidine_tract_variant,ins,+3,63,63,0,63,0,5.69e-02
intron_variant,del,->50,63,63,0,63,0,5.69e-02
coding_sequence_variant&splice_acceptor_variant,del,-11..50,62,62,0,0,62,5.78e-02
splice_acceptor_variant,del,-2,61,61,0,61,0,5.87e-02
coding_sequence_variant&splice_acceptor_variant,del,-4..10,61,61,0,43,18,5.87e-02
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,del,-1,60,60,0,60,0,5.96e-02
intron_variant&splice_donor_region_variant&splice_donor_variant,del,-3,60,60,0,0,60,5.96e-02
intron_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-3,59,59,0,0,59,6.06e-02
non_coding_transcript_exon_variant&splice_region_variant,del,-1,58,58,0,58,0,6.16e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,del,-2,58,58,0,51,7,6.16e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+1,58,58,0,57,1,6.16e-02
NMD_transcript_variant&intron_variant,ins,+3,58,58,0,58,0,6.16e-02
3_prime_UTR_variant,del,-3,57,57,0,57,0,6.27e-02
intron_variant&splice_donor_region_variant,del,-4..10,56,56,0,40,16,6.38e-02
frameshift_variant,del,->50,56,56,0,56,0,6.38e-02
NMD_transcript_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-3,56,56,0,0,56,6.38e-02
coding_sequence_variant&intron_variant&splice_acceptor_variant,del,->50,55,55,0,0,55,6.49e-02
protein_altering_variant&stop_gained,ins,+11..50,55,55,0,0,55,6.49e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-11..50,55,55,0,38,17,6.49e-02
intron_variant&splice_polypyrimidine_tract_variant,ins,+>50,54,54,0,54,0,6.60e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+4..10,54,54,0,54,0,6.60e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,del,-3,54,54,0,34,20,6.60e-02
NMD_transcript_variant&splice_acceptor_variant,del,-2,53,53,0,53,0,6.72e-02
5_prime_UTR_variant,del,-11..50,53,53,0,51,2,6.72e-02
frameshift_variant,ins,+>50,53,53,0,53,0,6.72e-02
3_prime_UTR_variant&NMD_transcript_variant,ins,+>50,53,53,0,53,0,6.72e-02
coding_sequence_variant&splice_donor_variant,del,-11..50,52,52,0,44,8,6.85e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-3,52,52,0,44,8,6.85e-02
splice_donor_variant,ins,+1,52,52,0,52,0,6.85e-02
intron_variant&splice_donor_5th_base_variant,del,-1,52,52,0,52,0,6.85e-02
intron_variant&splice_donor_region_variant,ins,+4..10,51,51,0,20,31,6.98e-02
intron_variant&splice_polypyrimidine_tract_variant,del,-11..50,50,50,0,38,12,7.11e-02
frameshift_variant&stop_gained,ins,+11..50,50,50,0,0,50,7.11e-02
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant,del,-11..50,50,50,0,0,50,7.11e-02
